iter	RMSE
171	9.021711714
172	9.020051931
173	9.018479684
174	9.016745782
175	9.015287169
176	9.013468133
177	9.0116272
178	9.010308895
179	9.00839304
180	9.006734161
181	9.005283009
182	9.003918256
183	9.00290725
184	9.001413852
185	9.00017651
186	8.9990855
187	8.997498611
188	8.995890029
189	8.993878747
190	8.992404826
191	8.990896529
192	8.989671883
193	8.988285674
194	8.9866315
195	8.985203342
196	8.983904279
197	8.982384916
198	8.981072718
199	8.980113971
200	8.978786738
201	8.977491827
202	8.975861912
203	8.974688576
204	8.973231386
205	8.971874626
206	8.970493396
207	8.969480437
208	8.968098548
209	8.966834892
210	8.965703802
211	8.964279976
212	8.962865817
213	8.961578456
214	8.960657843
215	8.959434491
216	8.958084483
217	8.956894534
218	8.955812344
219	8.954537046
220	8.95354488
221	8.952258226
222	8.951223137
223	8.950282573
224	8.949058381
225	8.947719181
226	8.94641572
227	8.945330641
228	8.944001009
229	8.942899748
230	8.941587594
231	8.940469308
232	8.939404271
233	8.938171653
234	8.936972475
235	8.93574369
236	8.934439343
237	8.933269284
238	8.932164755
239	8.930744693
240	8.929609216
241	8.928070321
242	8.926995823
243	8.925981604
244	8.924792823
245	8.923425329
246	8.922622173
247	8.921478897
248	8.920378714
249	8.919272837
250	8.918073017
251	8.916942648
252	8.915990405
253	8.915050036
254	8.913984359
255	8.912980548
256	8.912014391
257	8.911033921
258	8.910027038
259	8.908903797
260	8.908082973
261	8.907208338
262	8.906215312
263	8.905245391
264	8.904161973
265	8.903220715
266	8.901900824
267	8.90080072
268	8.899674701
269	8.89864478
270	8.897653034
271	8.896555521
272	8.895505587
273	8.894590676
274	8.893690946
275	8.892844063
276	8.89164993
277	8.890531293
278	8.889306181
279	8.888392943
280	8.88754643
281	8.886565964
282	8.885524838
283	8.884614558
284	8.88354719
285	8.88265266
286	8.88159833
287	8.880416363
288	8.87941277
289	8.878261398
290	8.877328376
291	8.876304684
292	8.875544061
293	8.874860381
294	8.87401234
295	8.873093091
296	8.872053828
297	8.871099115
298	8.870346111
299	8.869228195
300	8.868169593
301	8.867157062
302	8.866299333
303	8.865313607
304	8.864335297
305	8.863577486
306	8.862613676
307	8.861829152
308	8.860888736
309	8.860109113
310	8.859068057
311	8.858352441
312	8.85765224
313	8.856708015
314	8.855731772
315	8.854976654
316	8.854094915
317	8.853478853
318	8.852702179
319	8.851698316
320	8.850827886
321	8.849878845
322	8.849095929
323	8.84836415
324	8.847634879
325	8.846743212
326	8.845829107
327	8.844859926
328	8.844006429
329	8.842897631
330	8.842026213
331	8.841112997
332	8.840444646
333	8.839429232
334	8.838363829
335	8.837512901
336	8.836320124
337	8.835354458
338	8.83432019
339	8.833624434
340	8.832789084
341	8.832187923
342	8.831498842
343	8.830325707
344	8.829159504
345	8.828449231
346	8.827738858
347	8.826897433
348	8.826195239
349	8.825463519
350	8.824574356
351	8.823571782
352	8.822544921
353	8.821632954
354	8.820820426
355	8.820008055
356	8.818929961
357	8.818209419
358	8.817258783
359	8.81639517
360	8.815462008
361	8.814402574
362	8.813513435
363	8.812813498
364	8.811929814
365	8.811330262
366	8.810135213
367	8.809200633
368	8.808267704
369	8.807323781
370	8.806618689
371	8.80560917
372	8.804565963
373	8.80360222
374	8.802761087
375	8.802045508
376	8.801420228
377	8.800559326
378	8.7997612
379	8.799002129
380	8.798183181
381	8.797280145
382	8.796572677
383	8.795853369
384	8.794966665
385	8.794154468
386	8.793230321
387	8.792337668
388	8.791625516
389	8.790755845
390	8.789963769
391	8.78936934
392	8.78847181
393	8.787713864
394	8.786778189
395	8.786084208
396	8.785404281
397	8.78456614
398	8.783776529
399	8.783081601
400	8.782560236
401	8.781756465
402	8.781106496
403	8.780298774
404	8.779420313
405	8.778605839
406	8.7776991
407	8.777161465
408	8.776583884
409	8.775761318
410	8.774997752
411	8.774017925
412	8.773134253
413	8.772178805
414	8.771379951
415	8.770342203
416	8.769563225
417	8.768860396
418	8.768041712
419	8.767364746
420	8.76665575
421	8.76598043
422	8.765221434
423	8.764317206
424	8.763448496
425	8.762482981
426	8.76173837
427	8.761135898
428	8.760321793
429	8.759677691
430	8.758836533
431	8.758170095
432	8.757540651
433	8.756770784
434	8.756235323
435	8.755704678
436	8.755083593
437	8.754247305
438	8.753650344
439	8.752872657
440	8.752166774
441	8.751393208
442	8.750484394
443	8.749850224
444	8.749057928
445	8.748219939
446	8.747640156
447	8.746810536
448	8.746173511
449	8.745457454
450	8.744677864
451	8.744072987
452	8.743547453
453	8.742720942
454	8.74191153
455	8.741277832
456	8.740651092
457	8.739867073
458	8.739019568
459	8.738439547
460	8.737840498
461	8.737021768
462	8.73635915
463	8.735586118
464	8.734863687
465	8.73400005
466	8.733156658
467	8.732533642
468	8.731894528
469	8.731039233
470	8.73028125
471	8.729457919
472	8.728643029
473	8.72800567
474	8.72724837
475	8.726501797
476	8.725840896
477	8.725189676
478	8.724675422
479	8.723899473
480	8.723231851
481	8.722690265
482	8.721985885
483	8.721399909
484	8.720632232
485	8.719939745
486	8.719080269
487	8.718428851
488	8.717605705
489	8.716817007
490	8.716168087
491	8.715464763
492	8.71458701
493	8.713846919
494	8.713004499
495	8.712353404
496	8.711610093
497	8.710989003
498	8.710272608
499	8.709517702
500	8.70880469
501	8.70814966
502	8.707512468
503	8.706746847
504	8.706061163
505	8.70532595
506	8.704675834
507	8.70395387
508	8.70345644
509	8.702596635
510	8.701902068
511	8.701108963
512	8.700514797
513	8.699920452
514	8.699343838
515	8.698662322
516	8.698016934
517	8.697533489
518	8.696858926
519	8.696302999
520	8.69542088
521	8.694771269
522	8.694137945
523	8.693552939
524	8.692864295
525	8.692119374
526	8.691580952
527	8.690935477
528	8.690199346
529	8.68941559
530	8.688794081
531	8.688166156
532	8.687660551
533	8.687064463
534	8.68653275
535	8.685803539
536	8.685158865
537	8.684554806
538	8.684152767
539	8.683608211
540	8.683066548
541	8.682398314
542	8.681889286
543	8.681394225
544	8.680786038
545	8.680325849
546	8.679494213
547	8.678821525
548	8.678123444
549	8.677424894
550	8.677052142
551	8.676510486
552	8.675665181
553	8.675017065
554	8.674235307
555	8.673815016
556	8.673144938
557	8.672539664
558	8.671834374
559	8.671083056
560	8.670635635
561	8.669877592
562	8.669301855
563	8.668569396
564	8.667939918
565	8.667216108
566	8.666728126
567	8.666205723
568	8.665601953
569	8.664916681
570	8.664511029
571	8.663763654
572	8.663360833
573	8.662650234
574	8.66221259
575	8.66146431
576	8.660879646
577	8.660374202
578	8.659769373
579	8.658971154
580	8.6584056
581	8.657672231
582	8.657002116
583	8.656547797
584	8.65585534
585	8.655414061
586	8.654934384
587	8.654335397
588	8.653645207
589	8.653076567
590	8.652594573
591	8.652198423
592	8.651595156
593	8.650859553
594	8.650205309
595	8.649718689
596	8.649128401
597	8.648495187
598	8.647962599
599	8.647457356
600	8.646903609
601	8.646211881
602	8.645703978
603	8.645038733
604	8.644159535
605	8.643555148
606	8.64277299
607	8.642202619
608	8.641496205
609	8.641033484
610	8.640433644
611	8.639731894
612	8.639242924
613	8.638735249
614	8.638158455
615	8.637634144
616	8.637141099
617	8.636506226
618	8.636085976
619	8.635405045
620	8.634810579
621	8.634094937
622	8.633481003
623	8.633033359
624	8.632520017
625	8.632101948
626	8.631479877
627	8.630928948
628	8.630285885
629	8.629679595
630	8.629147213
631	8.628420027
632	8.627845378
633	8.627439911
634	8.626742285
635	8.625987431
636	8.62544686
637	8.624696035
638	8.624027502
639	8.623506707
640	8.622971294
641	8.622519807
642	8.621970631
643	8.621241569
644	8.620772628
645	8.620241504
646	8.619587478
647	8.618891118
648	8.618445792
649	8.617854474
650	8.617300185
651	8.616841678
652	8.616455347
653	8.615744033
654	8.61513604
655	8.614595848
656	8.613904056
657	8.613242762
658	8.61260735
659	8.611920844
660	8.611458451
661	8.610924064
662	8.610347418
663	8.609816918
664	8.609339781
665	8.608948291
666	8.608297431
667	8.607696344
668	8.607120827
669	8.606719854
670	8.606154939
671	8.605608968
672	8.604847552
673	8.604261079
674	8.603770165
675	8.60327096
676	8.602552936
677	8.602010169
678	8.601531923
679	8.601089384
680	8.600431099
681	8.599852672
682	8.599314475
683	8.598723028
684	8.598125529
685	8.597427143
686	8.596915482
687	8.596217225
688	8.59561315
689	8.594942624
690	8.594343811
691	8.593576439
692	8.593075554
693	8.592431166
694	8.591975957
695	8.591435516
696	8.590856128
697	8.590268164
698	8.589580313
699	8.588996007
700	8.588522569
701	8.587991782
702	8.587414602
703	8.586672255
704	8.586110021
705	8.585576729
706	8.584931555
707	8.584394211
708	8.583789919
709	8.583201423
710	8.582523093
711	8.58187059
712	8.581364047
713	8.580812477
714	8.58030606
715	8.579769678
716	8.57916418
717	8.578568928
718	8.578172184
719	8.577648371
720	8.577091313
721	8.576628554
722	8.576087084
723	8.57560191
724	8.575142331
725	8.574589862
726	8.574035227
727	8.573382813
728	8.572878155
729	8.572480504
730	8.572058864
731	8.571534598
732	8.571046678
733	8.5705083
734	8.570130138
735	8.569489708
736	8.568937589
737	8.568439053
738	8.567879131
739	8.567438863
740	8.566904277
741	8.566206807
742	8.565638201
743	8.565129923
744	8.564468655
745	8.5640437
746	8.563697385
747	8.563103738
748	8.562549392
749	8.561915866
750	8.561446929
751	8.560984047
752	8.560311235
753	8.559788329
754	8.559172303
755	8.558736526
756	8.558315466
757	8.557842382
758	8.557385022
759	8.556719755
760	8.556103702
761	8.555543071
762	8.554904013
763	8.554364407
764	8.553966187
765	8.55340764
766	8.553105781
767	8.552717907
768	8.552181613
769	8.551581226
770	8.550833717
771	8.550442474
772	8.549902397
773	8.549232986
774	8.54874214
775	8.548197357
776	8.547753199
777	8.547248091
778	8.546589283
779	8.546037434
780	8.545609601
781	8.545108241
782	8.544626618
783	8.54405417
784	8.543613662
785	8.543126898
786	8.54249829
787	8.541961543
788	8.541562739
789	8.541023899
790	8.540262385
791	8.539676643
792	8.539163705
793	8.538752417
794	8.538322688
795	8.537957068
796	8.537594726
797	8.536980536
798	8.536463098
799	8.535985301
800	8.535399228
801	8.534756014
802	8.5341831
803	8.533656622
804	8.533054595
805	8.532524534
806	8.532008764
807	8.531699184
808	8.531039008
809	8.530523157
810	8.529992038
811	8.529468024
812	8.528824709
813	8.528249461
814	8.527769892
815	8.527240784
816	8.526627846
817	8.52626754
818	8.525782881
819	8.525255362
820	8.524788608
821	8.524274173
822	8.523781575
823	8.523294679
824	8.522671956
825	8.522150405
826	8.521568053
827	8.520920418
828	8.52054291
829	8.5200838
830	8.519727991
831	8.519175393
832	8.518641702
833	8.518144252
834	8.517767959
835	8.517408322
836	8.516833175
837	8.516367465
838	8.515959106
839	8.515384723
840	8.514786098
841	8.514273346
842	8.51372057
843	8.513252739
844	8.512971857
845	8.512496141
846	8.511922824
847	8.511443792
848	8.510835204
849	8.510418616
850	8.509926606
851	8.509468399
852	8.509001604
853	8.508464219
854	8.507931145
855	8.507379662
856	8.506936534
857	8.506502849
858	8.506129417
859	8.50550741
860	8.50494215
861	8.504383501
862	8.504062834
863	8.50359281
864	8.503109908
865	8.502626796
866	8.502208707
867	8.501679753
868	8.501349892
869	8.500775774
870	8.500355857
871	8.49989976
872	8.499435209
873	8.49901376
874	8.498342038
875	8.497998738
876	8.497588843
877	8.496931389
878	8.496387849
879	8.496087587
880	8.495431398
881	8.495004124
882	8.494460532
883	8.493796597
884	8.493286288
885	8.49273612
886	8.492171455
887	8.491474096
888	8.491100549
889	8.49050429
890	8.490028376
891	8.489617635
892	8.489153306
893	8.488525889
894	8.487972768
895	8.487347242
896	8.486849668
897	8.486280858
898	8.485975603
899	8.485552549
900	8.485083812
901	8.484692614
902	8.484162232
903	8.4836789
904	8.483113826
905	8.482773484
906	8.482353318
907	8.481977579
908	8.481625104
909	8.481120314
910	8.480727096
911	8.480340178
912	8.479691851
913	8.479201021
914	8.478690795
915	8.478160157
916	8.477587036
917	8.476995617
918	8.47642249
919	8.476126163
920	8.475689153
921	8.475119887
922	8.474615299
923	8.474155626
924	8.473762429
925	8.473033976
926	8.472682297
927	8.472103301
928	8.471662303
929	8.471146086
930	8.470614076
931	8.470231403
932	8.469671638
933	8.468942607
934	8.468203859
935	8.467843698
936	8.467243983
937	8.466844167
938	8.46635625
939	8.465817127
940	8.46532861
941	8.464681404
942	8.464293355
943	8.463864947
944	8.46337589
945	8.462959081
946	8.462568147
947	8.462121206
948	8.46156992
949	8.460955802
950	8.460605197
951	8.460084722
952	8.459601164
953	8.459218325
954	8.458587329
955	8.458067071
956	8.457575375
957	8.457181054
958	8.456814371
959	8.456230473
960	8.455985184
961	8.455661569
962	8.455053185
963	8.45457485
964	8.454127361
965	8.453560192
966	8.453189135
967	8.452715166
968	8.452458163
969	8.452088861
970	8.451536449
971	8.451031169
972	8.450638371
973	8.450099217
974	8.449579346
975	8.448980073
976	8.448662737
977	8.448207138
978	8.447702845
979	8.447302965
980	8.446816238
981	8.446371416
982	8.445881872
983	8.445471916
984	8.445129813
985	8.444580447
986	8.444161826
987	8.443651719
988	8.44315635
989	8.442777492
990	8.442174984
991	8.441784901
992	8.441401365
993	8.440983793
994	8.440448119
995	8.439858208
996	8.439511968
997	8.439079358
998	8.438642916
999	8.438257481
